Анюйск;Билибино;4,317;0,000;0,000;0,000
Анюйск;Две Виски;0,000;0,000;0,000;3,560
Анюйск;Ермолово;0,000;0,000;0,000;3,700
Анюйск;Кепервеем;4,383;1,000;0,000;0,000
Анюйск;Колымское;0,000;0,000;0,000;7,130
Анюйск;Михалкино;0,000;0,000;0,000;7,047
Анюйск;Нижнеколымск;0,000;0,000;0,000;3,000
Анюйск;Омолон;12,500;0,000;0,000;0,000
Анюйск;Островное;3,760;0,560;0,000;0,000
Анюйск;Походск;0,000;0,000;0,000;6,053
Анюйск;Черский;1,150;0,000;0,000;4,400
Две Виски;Михалкино;0,000;0,000;0,000;4,884
Две Виски;Походск;0,000;0,000;0,000;3,890
Ермолово;Две Виски;0,000;0,000;0,000;1,760
Ермолово;Михалкино;0,000;0,000;0,000;4,527
Ермолово;Походск;0,000;0,000;0,000;3,533
Кепервеем;Билибино;0,550;0,000;0,000;0,000
Кепервеем;Илирней;0,000;0,505;0,000;0,000
Кепервеем;Магадан;0,000;3,000;0,000;0,000
Кепервеем;Омолон;8,167;1,905;0,000;0,000
Кепервеем;Островное;2,283;0,440;0,000;0,000
Кепервеем;Певек;0,000;1,635;0,000;0,000
Кепервеем;Черский;4,650;0,000;0,000;0,000
Колымское;Две Виски;0,000;0,000;0,000;5,190
Колымское;Ермолово;0,000;0,000;0,000;3,430
Колымское;Михалкино;0,000;0,000;0,000;7,957
Колымское;Походск;0,000;0,000;0,000;6,963
Колымское;Среднеколымск;0,000;1,260;0,000;0,000
Нижнеколымск;Две Виски;0,000;0,000;0,000;1,060
Нижнеколымск;Ермолово;0,000;0,000;0,000;0,700
Нижнеколымск;Колымское;0,000;0,000;0,000;4,130
Нижнеколымск;Михалкино;0,000;0,000;0,000;3,827
Нижнеколымск;Походск;0,000;0,000;0,000;2,833
Омолон;Билибино;8,667;0,000;0,000;0,000
Омолон;Черский;12,667;0,000;0,000;0,000
Островное;Билибино;2,217;0,000;0,000;0,000
Островное;Омолон;10,333;0,000;0,000;0,000
Среднеколымск;Алеко-Кюёль;0,000;0,785;0,000;0,000
Среднеколымск;Аргахтах;0,000;0,545;0,000;0,000
Среднеколымск;Берёзовка;0,000;0,645;0,000;0,000
Среднеколымск;Ойусардах;0,000;0,505;0,000;0,000
Среднеколымск;Сватай;0,000;0,525;0,000;0,000
Среднеколымск;Сылгы-Ытар;0,000;0,322;0,000;0,000
Среднеколымск;Хатынгнах;0,000;0,236;0,000;0,000
Среднеколымск;Эбях;0,000;0,810;0,000;0,000
Черский;Алеко-Кюёль;0,000;1,915;0,000;0,000
Черский;Андрюшкино;0,000;1,395;0,000;0,000
Черский;Две Виски;0,000;0,000;0,000;2,237
Черский;Ермолово;0,000;0,000;0,000;1,880
Черский;Колымское;0,000;0,530;0,000;5,310
Черский;Михалкино;0,000;0,000;0,000;2,647
Черский;Нижнеколымск;0,000;0,000;0,000;1,180
Черский;Походск;0,000;0,198;0,000;1,653
Черский;Среднеколымск;0,000;1,000;0,000;0,000
Черский;Сылгы-Ытар;0,000;0,000;0,000;0,000
Черский;Эбях;0,000;0,000;0,000;0,000
Черский;Якутск;0,000;5,750;0,000;0,000
